issue_id,run_id,issue_type,natural_key,detail
53df9872-896e-48ef-a18c-0ce079788e2d,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica de manabi|tecnologia en acuacultura|agricultura|tercer nivel tecnico superior|presencial|manabi|,"{""provincia_original"": ""MANABÍ"", ""canton_original"": ""BAHIA DE CARAQUEZ""}"
5b20cc56-0675-4e3c-8d1e-cdb11039c3f6,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica de manabi|licenciatura en ciencias de la educacion mencion educacion general basica|educacion|tercer nivel o pregrado|semipresencial|manabi|,"{""provincia_original"": ""MANABÍ"", ""canton_original"": ""CALCETA""}"
2871acc3-3166-4181-83c1-64ee9470a55e,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica de ambato|comunicacion social|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|semipresencial|santodomingodelostsachilas|","{""provincia_original"": ""SANTO DOMINGO DE LOS TSÁCHILAS"", ""canton_original"": ""SANTO DOMINGO DE LOS COLORADOS""}"
94a88d46-9e14-4a5d-9a5f-4298edcfdea2,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica de machala|contabilidad y auditoria|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|eloro|","{""provincia_original"": ""EL ORO"", ""canton_original"": ""PIÑAS""}"
42a00855-77f4-480c-9188-649bfe49c281,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica de machala|administracion de empresas|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|eloro|","{""provincia_original"": ""EL ORO"", ""canton_original"": ""PIÑAS""}"
d24bd842-69d1-4c4d-9ea9-9c6869b3d768,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|derecho|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""QUININDE""}"
d40035cc-9e34-4f2d-ba82-9e5c61220399,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|derecho|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
656b0ee6-5d34-4501-bb23-4266b18847f4,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica luis vargas torres de esmeraldas|ciencias de la educacion mencion psicologia educativa y orientacion vocacional|educacion|tercer nivel o pregrado|presencial|esmeraldas|,"{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
8cc271c9-a4aa-42bf-aee7-e6be13798aab,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica luis vargas torres de esmeraldas|ciencias de la educacion mencion historia y geografia|educacion|tercer nivel o pregrado|presencial|esmeraldas|,"{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
a4d2392c-8de2-4b45-b7dd-794dc0a8f7ee,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica luis vargas torres de esmeraldas|tecnologia silvoagropecuaria|agricultura|tercer nivel tecnico superior|presencial|esmeraldas|,"{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""QUININDE""}"
0d1552e0-c64f-49e7-b0a2-1bb0bb24b303,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica luis vargas torres de esmeraldas|tecnologia en silvoagropecuaria|agricultura|tercer nivel tecnico superior|presencial|esmeraldas|,"{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
dc71dab4-cb67-4576-9a92-2dfe88d30145,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|administracion de empresas|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""QUININDE""}"
430d2db5-c188-42e8-90a0-11f14b19c498,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica luis vargas torres de esmeraldas|ciencias de la educacion mencion historia y geografia|educacion|tercer nivel o pregrado|presencial|esmeraldas|,"{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""QUININDE""}"
ade60793-06d9-48d2-a628-42d71633da94,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|administracion de empresas|ciencias sociales, educacion comercial y derecho|tercer nivel tecnico superior|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
3e35ce57-b1ff-4472-b846-97f26969d0e2,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|administracion de empresas|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
616f0336-e4c7-4b39-82c0-77258c24ccc5,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|administracion publica|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""QUININDE""}"
84768f03-522f-4d0a-bdfc-c2d7fa995518,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|administracion publica|ciencias sociales, educacion comercial y derecho|tercer nivel tecnico superior|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""QUININDE""}"
0a32c937-6e0e-4b2b-a08c-49848c6e70a5,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica luis vargas torres de esmeraldas|enfermeria|salud y servicios sociales|tercer nivel o pregrado|presencial|esmeraldas|,"{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""QUININDE""}"
bbb4d7e5-7663-4387-9682-38af056c08d2,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|administracion publica|ciencias sociales, educacion comercial y derecho|tercer nivel tecnico superior|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
38ae3d29-685a-4462-9d3c-3ac6317308f9,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|administracion publica|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
32183f28-67ac-4da5-906f-488733779b30,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica luis vargas torres de esmeraldas|informatica|ciencias|tercer nivel tecnico superior|presencial|esmeraldas|,"{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
54cefd6d-37d0-409f-b6c8-ac7e970adbc2,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica luis vargas torres de esmeraldas|informatica|ciencias|tercer nivel o pregrado|presencial|esmeraldas|,"{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
5c76d7a5-764c-4b15-8706-f6c4ed7ab491,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica luis vargas torres de esmeraldas|agronomia|agricultura|tercer nivel tecnico superior|presencial|esmeraldas|,"{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
6507b74a-8821-4170-b5b1-818200cc7acc,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica luis vargas torres de esmeraldas|agronomia|agricultura|tercer nivel o pregrado|presencial|esmeraldas|,"{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
0b0e26d8-7346-414b-a63c-4a676d54fe95,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|ingenieria mecanica|ingenieria, industria y construccion|tercer nivel o pregrado|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
738695c2-8e1e-47b9-b2b0-0e1ea101f9d4,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|ingenieria electrica|ingenieria, industria y construccion|tercer nivel o pregrado|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
9e3622f5-908a-4aae-94cf-a41cb61b080f,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|comunicacion social|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
4800fec4-76d5-4aed-9669-538b517b5d7b,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|contabilidad y auditoria|ciencias sociales, educacion comercial y derecho|tercer nivel tecnico superior|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
0a167e65-e2ca-430c-a4fe-2bebf4d43c72,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica luis vargas torres de esmeraldas|contabilidad y auditoria|ciencias sociales, educacion comercial y derecho|tercer nivel o pregrado|presencial|esmeraldas|","{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
fde67a39-915c-4556-b4ff-65d0cc534120,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica luis vargas torres de esmeraldas|educacion basica mencion estudios sociales|educacion|tercer nivel o pregrado|presencial|esmeraldas|,"{""provincia_original"": ""ESMERALDAS"", ""canton_original"": ""LA CONCORDIA""}"
d4c23a49-7479-4641-8412-56695008abbe,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica de babahoyo|ingenieria agronomica|agricultura|tercer nivel o pregrado|semipresencial|carchi|,"{""provincia_original"": ""CARCHI"", ""canton_original"": ""EL ANGEL""}"
3daa84e1-9272-4e7f-b05a-b917d4aa62a2,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica estatal de quevedo|diploma superior en practica docente universitaria|educacion|cuarto nivel o posgrado|semipresencial||,"{""provincia_original"": ""CAÑAR"", ""canton_original"": ""AZOGUES""}"
65070468-cc57-4093-8694-f4fb48b98c51,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica estatal de quevedo|especialidad en educacion universitaria|educacion|cuarto nivel o posgrado|semipresencial||,"{""provincia_original"": ""CAÑAR"", ""canton_original"": ""AZOGUES""}"
cd9cc00c-3c69-4a1c-9d0b-7d014870f6b9,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica estatal de quevedo|maestria en desarrollo y medio ambiente|servicios|cuarto nivel o posgrado|semipresencial||,"{""provincia_original"": ""CAÑAR"", ""canton_original"": ""AZOGUES""}"
7bcbaa1e-3e84-45f6-82f9-5e46bab28d5c,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,"universidad tecnica estatal de quevedo|maestria en gerencia de innovaciones educativas|ciencias sociales, educacion comercial y derecho|cuarto nivel o posgrado|semipresencial||","{""provincia_original"": ""CAÑAR"", ""canton_original"": ""AZOGUES""}"
f4ab3727-ba27-46a3-b1ac-81ebd61d64d8,8ed6c78a-1965-4871-9dbb-0e5d7b1e96cb,missing_territory_norm,universidad tecnica estatal de quevedo|diploma superior en investigacion para la innovacion educativa|educacion|cuarto nivel o posgrado|semipresencial||,"{""provincia_original"": ""CAÑAR"", ""canton_original"": ""AZOGUES""}"
