mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
25.282651376724242,3.7870612615293036,4.449914407730103,1.488032534490671,500,5,4,,5,balanced,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 5, ""model__n_estimators"": 500}",0.5919601852212943,0.6155483304050462,0.6022280757956519,0.6403602183470154,0.6094578972244784,0.6119109413986973,0.016250538094002325,34,0.6238454135173283,0.6202668724208653,0.6292334022968956,0.6213083411285533,0.6221978359497632,0.6233703730626811,0.003157825531820569
28.40588483810425,1.8265288945089726,2.7616103649139405,0.46828584694202835,500,2,2,0.5,20,,"{""model__class_weight"": null, ""model__max_depth"": 20, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 500}",0.6177376836637637,0.6315165770655311,0.6016988204281831,0.6287386366474221,0.6204543805835896,0.6200292196776979,0.010480923236566467,26,0.6735812089259514,0.674503827685164,0.6820202237105507,0.6703890774488831,0.6741013632476338,0.6749191402036366,0.0038360959131843934
10.494892024993897,1.414135638908489,1.95724458694458,0.8307308565443077,100,2,2,log2,,balanced,"{""model__class_weight"": ""balanced"", ""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}",0.622458748198759,0.6383641672559777,0.609855515423126,0.6442382077986507,0.628449550358711,0.6286732378070449,0.012074427500366712,11,0.6697237658908317,0.6683578290474744,0.6744897876663131,0.663606279176074,0.6683545843077446,0.6689064492176875,0.0034796268827593764
8.078459978103638,2.810636210874103,1.4933710098266602,0.6310729997321459,100,20,8,log2,5,balanced,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 20, ""model__n_estimators"": 100}",0.5838291416786565,0.6042968093399379,0.58136409991876,0.64191923710194,0.588370502418648,0.5999559580915885,0.022448670142997573,40,0.6110601053177818,0.611472292145989,0.6120291646985638,0.6071630510813406,0.6118046125258944,0.6107058451539139,0.0018012659687567732
13.017758846282959,1.110606390747879,1.2124208450317382,0.354377093886689,200,20,4,,,balanced,"{""model__class_weight"": ""balanced"", ""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 20, ""model__n_estimators"": 200}",0.6164084523917425,0.6313672795384139,0.6006867404534961,0.6353972704226175,0.6213048280227178,0.6210329141657975,0.012235687205089885,22,0.6680456733749042,0.6675483045187539,0.6743319404956781,0.6620744690888232,0.6674746992178081,0.6678950173391935,0.0038892759223664065
16.437564277648924,4.181588175976916,3.584785509109497,1.1333163976770806,500,5,2,log2,10,,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 500}",0.6166361985573581,0.6355010537840147,0.6077020921174249,0.6540561663468465,0.6200225987217987,0.6267836219054885,0.016325266999421016,13,0.6504442799261648,0.6472248945148619,0.6523504234711955,0.6428918426185272,0.6485841260071621,0.6482991133075823,0.0032090063390883793
11.149118661880493,2.6490046311284328,2.0495263576507567,0.9084704703082213,200,20,2,sqrt,10,balanced_subsample,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20, ""model__n_estimators"": 200}",0.609106757637839,0.639613117281113,0.6118774930314435,0.6537109063496616,0.6211646676957023,0.6270945883991519,0.017061230630220598,12,0.649700666225635,0.6468305133912363,0.6533970048030118,0.6429832350132776,0.6484135883900418,0.6482650015646405,0.0034168840344646523
8.2909921169281,1.6894452336045689,1.253259038925171,0.2973610489346844,200,10,4,,5,balanced,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 200}",0.5886288884863209,0.6130053720822675,0.6021339866351988,0.6347087174354572,0.6081433058087664,0.6093240540896021,0.015095127367427684,35,0.6206958652682236,0.6188139517060736,0.628066566227942,0.6185902412386122,0.6192814012688256,0.6210896051419353,0.0035644925813337054
14.431956672668457,1.5572021834894496,2.953841304779053,1.1904688650067174,300,20,2,,,balanced,"{""model__class_weight"": ""balanced"", ""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}",0.6180293367877927,0.6314852495439429,0.6008577274511583,0.6337375242850716,0.6214871004665633,0.6211193877069057,0.01172081026214018,20,0.6706684754537383,0.6704243242987907,0.677643147000494,0.6655772306505463,0.6698848040311686,0.6708395962869476,0.0038754136764576888
25.70046968460083,5.239358028497682,3.9466561794281008,0.7216497226480025,500,20,8,sqrt,20,balanced_subsample,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 20, ""model__n_estimators"": 500}",0.6159695849817894,0.6396122601653481,0.6134769334086793,0.6490971150940212,0.6295665804376234,0.6295444948174922,0.0136096293353322,7,0.655118906947459,0.6527010220751774,0.6581708548676511,0.6472163065606643,0.6545410685451977,0.6535496317992299,0.0036230490198566607
