mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.526434373855591,0.4554534886711064,0.06522955894470214,0.00883694909391071,0.6,100,2,10,3,0.05,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2, ""model__n_estimators"": 100, ""model__subsample"": 0.6}",0.6091067034978219,0.6260347730590241,0.603558482373181,0.6482848617434261,0.6177884546017335,0.6209546550550373,0.015657416146695934,13,0.6354776173788244,0.6284558349522094,0.6344411247574898,0.623300514431845,0.6338594171569292,0.6311069017354596,0.004599225529684447
2.3768046379089354,0.4099414660224125,0.08047614097595215,0.005549802277690925,1.0,150,10,10,2,0.05,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 10, ""model__n_estimators"": 150, ""model__subsample"": 1.0}",0.5983470053369853,0.5954761090158601,0.5903198512845506,0.6315995861835991,0.6064434357737482,0.6044371975189486,0.014549992182677357,23,0.6100767629835873,0.6054616847643005,0.6161590159461822,0.6080910816878667,0.6140000000032146,0.6107577090770302,0.0038809542404053686
3.9887784481048585,0.1433782680414932,0.1240818977355957,0.03373313518613418,1.0,300,5,1,2,0.05,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5, ""model__n_estimators"": 300, ""model__subsample"": 1.0}",0.6079388986339507,0.6122070397213137,0.592744918363107,0.6495644789304926,0.6101575442424377,0.6145225759782604,0.018814682305595593,16,0.6226219718033902,0.6217867751472053,0.6288139963991954,0.6205997963054518,0.6275830958290346,0.6242811270968555,0.003285625844574487
2.115830898284912,0.25837715221515545,0.06899785995483398,0.011921388369290752,0.9,150,10,2,1,0.01,"{""model__learning_rate"": 0.01, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 150, ""model__subsample"": 0.9}",0.4748404375345172,0.4869935474877265,0.49906454648944276,0.5287762889339233,0.495309137085862,0.49699679150629433,0.017933372003521873,39,0.5023505018587335,0.4993987746545745,0.4962918140586863,0.48900400166304353,0.4972244075077654,0.4968538999485606,0.004444392856627632
1.870207929611206,0.38499119273770893,0.08401026725769042,0.03566214402047848,0.75,100,2,2,2,0.03,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 100, ""model__subsample"": 0.75}",0.5738978200459767,0.5785412872441319,0.5752749343435425,0.6188088546124579,0.5853335239649285,0.5863712840422075,0.016693100736748553,32,0.6016751542953542,0.5878087479043523,0.5935415293146483,0.5890182346196274,0.5933706943219013,0.5930828720911767,0.004867405577400265
3.489167833328247,0.3830846070336181,0.06716084480285645,0.007545514630652128,0.75,150,10,2,3,0.01,"{""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 150, ""model__subsample"": 0.75}",0.5790290011039426,0.5993538109353415,0.5939917343980275,0.6208975004607891,0.594035249352125,0.5974614592500451,0.013537816963260115,24,0.6120385307588375,0.600029067869385,0.6055636449405482,0.5992995550596677,0.5993629501304113,0.60325874975177,0.004973538352611178
3.5519479274749757,0.3939490704201542,0.07977871894836426,0.028754687902465423,1.0,150,20,2,4,0.03,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20, ""model__n_estimators"": 150, ""model__subsample"": 1.0}",0.6071170830666398,0.6259077459561189,0.6149574016429122,0.6426837985832728,0.6134845180928284,0.6208301094683544,0.012488872032227046,14,0.6411799570257031,0.6355780059039448,0.6413914325529106,0.6294325222360401,0.6354224417207663,0.636600871887873,0.00442125958060958
2.5405282497406008,0.12877048357936266,0.09691143035888672,0.02953323668918096,1.0,150,2,5,2,0.2,"{""model__learning_rate"": 0.2, ""model__max_depth"": 2, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2, ""model__n_estimators"": 150, ""model__subsample"": 1.0}",0.6137538208894164,0.625324919470964,0.6030062690559439,0.6538731858437842,0.6119768575817502,0.6215870105683717,0.0176370458580974,12,0.6324490100488628,0.634568726464443,0.6393494246093098,0.6285843678412115,0.6350014710522864,0.6339906000032227,0.00351217702910175
5.092297315597534,0.32323898539078105,0.11749792098999023,0.03360783776937283,0.75,200,5,5,4,0.03,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 5, ""model__n_estimators"": 200, ""model__subsample"": 0.75}",0.6156384583304434,0.627690830172487,0.6144437359651528,0.6488141615970546,0.6204665360095417,0.6254107444149358,0.012594735195889018,4,0.647757344171302,0.644723989588085,0.6495242203370641,0.6400204010972647,0.646561756777875,0.6457175423943182,0.0032498877615064156
1.9754221439361572,0.32600420665480123,0.07033796310424804,0.016330784576800487,1.0,150,5,5,1,0.2,"{""model__learning_rate"": 0.2, ""model__max_depth"": 1, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 5, ""model__n_estimators"": 150, ""model__subsample"": 1.0}",0.5873253224660726,0.5848880946462812,0.590157740798727,0.6197509562581969,0.5953774357657526,0.595499909987006,0.012618252832952367,27,0.6036592723953522,0.6024006169735013,0.6053725779949053,0.6003049340584643,0.6044220769079541,0.6032318956660354,0.0017572610282692162
3.46622896194458,0.8164558424033012,0.10741019248962402,0.03296332736239552,1.0,150,2,10,4,0.1,"{""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2, ""model__n_estimators"": 150, ""model__subsample"": 1.0}",0.6171801004899095,0.6293690976585312,0.6149755924933351,0.6534332975060156,0.6214098441816629,0.6272735864658909,0.013973004239128402,2,0.6551734454489795,0.6529876696962507,0.6554015119717725,0.6453758189114134,0.653662076093611,0.6525201044244054,0.003685275026767037
