mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__solver,param_model__penalty,param_model__max_iter,param_model__class_weight,param_model__C,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
46.80587496757507,4.2375643105075325,0.251449728012085,0.0194951897889223,saga,l1,2000,balanced,0.1,,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__max_iter"": 2000, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.8262360145141636,0.8609283362822671,0.8384104233132696,0.8371228560501547,0.8195435173115957,0.8364482294942903,0.014097088938528629,25,0.8418390784639359,0.8336277615162254,0.8384987086132508,0.8389689123324255,0.8420508879553429,0.8389970697762361,0.00304898169012007
9.205833673477173,0.8384136247097302,0.22194786071777345,0.008358727916096787,saga,elasticnet,2000,balanced,0.01,0.9,"{""model__C"": 0.01, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.9, ""model__max_iter"": 2000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.8124756178782919,0.8426219227090336,0.8213594154295474,0.8176614886137534,0.8054741550021984,0.819918519926565,0.012543136267050496,28,0.8209422996526837,0.8125067292218127,0.8211612703590621,0.8213948361013612,0.8270558472570618,0.8206121965183962,0.0046527886222454806
20.348174810409546,0.6932112676102046,0.2519522190093994,0.010305923333337066,saga,elasticnet,2000,,0.03,0.9,"{""model__C"": 0.03, ""model__class_weight"": null, ""model__l1_ratio"": 0.9, ""model__max_iter"": 2000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.826538189947226,0.8539580412962181,0.8351424362957373,0.8319683590908803,0.8165995019899037,0.8328413057239932,0.012292267618236766,26,0.8371877167022411,0.8283802339667768,0.833467244266509,0.8357543499617919,0.8372861338903622,0.8344151357575363,0.0033178869167403446
3.1930245399475097,0.1655845710019666,0.24048089981079102,0.015029107597635639,saga,l2,2000,balanced,0.003,,"{""model__C"": 0.003, ""model__class_weight"": ""balanced"", ""model__max_iter"": 2000, ""model__penalty"": ""l2"", ""model__solver"": ""saga""}",0.8215963817994724,0.854871165666606,0.8351386328944714,0.8282049864740016,0.8139128086233443,0.8307447950915792,0.013963147423167946,27,0.8343208150677005,0.8271575857124673,0.8319169822310764,0.83352531753073,0.8364522225941542,0.8326745846272257,0.003121397384554763
3.5341562747955324,0.13979563446621035,0.2340723991394043,0.03093504142285589,saga,elasticnet,2000,balanced,0.003,0.75,"{""model__C"": 0.003, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.75, ""model__max_iter"": 2000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.8035150990563324,0.836481464355653,0.8137950006314821,0.8103905051328109,0.7991090937603147,0.8126582325873187,0.0129704067399662,37,0.8151504925165515,0.8067724663333158,0.8127801551487184,0.8145226291832631,0.8163571273455139,0.8131165741054724,0.0033756741971183316
75.48573093414306,4.971713274938305,0.2376018524169922,0.020954051893393506,saga,elasticnet,1000,balanced,3.0,0.9,"{""model__C"": 3.0, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.9, ""model__max_iter"": 1000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.8325257559723643,0.8624834940653633,0.8452715889771757,0.8451169503194981,0.8195894917008385,0.8409974562070481,0.0143314961863276,14,0.8477059861170294,0.8433428184715234,0.8457881951163219,0.8472613071904411,0.8510764647259398,0.8470349543242511,0.002530675850102633
19.733595371246338,1.0536617529147352,0.2334688663482666,0.009431154210811695,saga,elasticnet,1000,balanced,0.1,0.75,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.75, ""model__max_iter"": 1000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.8257992436431509,0.8606420087487409,0.8388407258827733,0.838359650854439,0.819126898244247,0.8365537054746701,0.014199227550943229,24,0.8419286210947609,0.833993618499789,0.8388079565761797,0.8394760289499493,0.842834346659004,0.8394081143559365,0.0030910706605952257
1.374760055541992,0.09789925513281524,0.23671035766601561,0.009947761454582729,liblinear,l2,2000,balanced,0.001,,"{""model__C"": 0.001, ""model__class_weight"": ""balanced"", ""model__max_iter"": 2000, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.8135635786117782,0.8443515301990909,0.8241576619415285,0.8112797089437827,0.8044594116287829,0.8195623782649927,0.013916224310192977,30,0.8223863636794816,0.8151528398490256,0.8206137148783539,0.822621939851261,0.8253902633428575,0.821233024320196,0.003402766571772624
2.0902391910552978,0.04646773283918255,0.25329909324645994,0.02258799468487017,liblinear,l2,2000,,30.0,,"{""model__C"": 30.0, ""model__class_weight"": null, ""model__max_iter"": 2000, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.8414611101178221,0.8634476324955468,0.8526906625070326,0.8492662698003471,0.8259812035465949,0.8465693756934687,0.012486682123728223,6,0.8543217352101571,0.8508356175532426,0.8526070198634307,0.8545339024430768,0.8577697675055512,0.8540136085150916,0.002304452055560995
27.587257814407348,0.8648228237857998,0.2657480239868164,0.016547233393566965,saga,elasticnet,1000,balanced,0.3,0.25,"{""model__C"": 0.3, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.25, ""model__max_iter"": 1000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.83029872261776,0.8633506538260626,0.8431546232364341,0.8429435828498121,0.8188531163194098,0.8397201397698957,0.014864610491820966,17,0.8455517183114959,0.8399099858636514,0.8433964791602484,0.8448994577889991,0.8482739492972695,0.8444063180843328,0.0027477437194658324
